Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
62,California Towhee,CALT,Melozone crissalis,"Santa Barbara, Rocky Nook Park",7 May 1998,"Holmgren, M.",Feeding Fledgling,,,"""Juv. being fed.""",,34.4431,-119.71158,100,117,,MSE Nesting Records,-13326232.127658231,4088455.848811704
79,California Towhee,CALT,Melozone crissalis,"Santa Ynez Mtns, Tequepis Trail",30 Aug 1998,"Holmgren, M.",Fledgling Begging,,,"Old cabin with pools and diversion site.  ""Begging juv. in juv. plumage with adult. Viewed for 10 min. No food exchange seen but dependence was clear""","N side, Circle V Ranch",34.55182,-119.95665,100,382,,MSE Nesting Records,-13353513.19526694,4103140.844889858
81,California Towhee,CALT,Melozone crissalis,Goleta,12 Sep 1998,"Sweet, S.",Nestling in Nest,Monterey Cypress,6.1,"""Nestlings in nest 3-4 days from fledging""","83 Alpine Dr.  ""...has been monitoring sounds for a week""",34.43592,-119.88495,50,29,,MSE Nesting Records,-13345531.587777063,4087486.707349083
106,California Towhee,CALT,Melozone crissalis,Santa Ynez River between Pendola Sta. and P-Bar Camp,18 Jun 1999,"Whitney, K.",Feeding Fledgling,,,one feeding a fledgling on the ground,Los Padres NF Riparian Surveys,34.51204,-119.58412,700,474,,Pendola #5 18 June 1999.pdf,-13312043.34536172,4097765.4703451726
122,California Towhee,CALT,Melozone crissalis,"Carpinteria Ck, downstream of Carpinteria Ave",27 Aug 1999,"Holmgren, M.",Fledgling with Presumed Parent,,,"""Juv. with 2 adults, seemed dependent","With Ball, M.",34.39336,-119.51375,150,8,,MSE Nesting Records,-13304209.7927946,4081743.7556870454
125,California Towhee,CALT,Melozone crissalis,"Goleta, San Jose Ck",5 Sep 1999,"Holmgren, M.",Feeding Fledgling,,,"Adult feeding juv. that had down still attached to crown, fleshy rictus, bright colored mouth. Gave begging note.","100m S of Hwy 101. With Ball, M., Compton, D.",34.43988,-119.8165,25,15,,Goleta Breeding records 5 Sept 1999.pdf,-13337911.768632263,4088021.209611157
261,California Towhee,CALT,Melozone crissalis,Goleta Beach County Park,26 Jun 2001,"Compton, D.",Fledgling under Parental Care,,,1 juvenile accompanied by adult,,34.4172068,-119.8303412,150,3,,"Compton field notes, airport project for URS",-13339452.56396823,4084961.2297778586
287,California Towhee,CALT,Melozone crissalis,"Goleta, Santa Barbara Airport",26 Jul 2001,"Ball, M.",Fledgling under Parental Care,,,Adult with 2 semi-independent juvs,W of main runway,34.4273786,-119.8565318,300,2,,"Compton field notes, airport project for URS",-13342368.088223802,4086333.9153881865
611,California Towhee,CALT,Melozone crissalis,"Goleta, COPR, Devereux Slough",3 Jul 2004,"Compton, D.",Juvenile Independent,,,Independent juvenile feeding itself,,34.4140098,-119.8750133,200,2,,Compton field notes,-13344425.439392898,4084529.8287386214
754,California Towhee,CALT,Melozone crissalis,"Santa Barbara, Rocky Nook Park",29 Apr 2005,"Compton, D.",Carrying Food,,,"Adult carrying large insect over 30m+ distance to area near creek, then flying out of area about 1 minute later. Probably has nest or young fledglings.",,34.4421505,-119.7110374,75,113,,Compton field notes,-13326171.725702528,4088327.6824984825
755,California Towhee,CALT,Melozone crissalis,Santa Barbara Museum of Natural History,29 Apr 2005,"Compton, D.",Family Group in Close Association,,,"Family group, with at least one bird identifiable as in juvenile plumage and one bird following and begging from a presumed adult.",,34.440635,-119.7157323,100,92,,Compton field notes,-13326694.359579852,4088123.118852027
842,California Towhee,CALT,Melozone crissalis,"VAFB, Santa Ynez downstream of 13th St",25 May 2005,"Compton, D.",Fledgling Begging,,,"Juvenile perched in the open, begging persistently, but no adult seen",,34.67644,-120.5568482,100,6,,"MSE field notes, Vandenberg 2005",-13420326.95326598,4119997.105608487
864,California Towhee,CALT,Melozone crissalis,"Ellwood, Haskell's Beach",31 May 2005,"Compton, D.",Fledgling out of Nest--Brancher,,,fledgling approximately 1 day out of nest (very short tail and extensive yellow on bill) giving begging call and with at least 1 adult.,,34.4304857,-119.9150461,50,9,,Compton field notes,-13348881.870303925,4086753.252201692
872,California Towhee,CALT,Melozone crissalis,"Goleta Slough, Area K and L/M",1 Jun 2005,"Compton, D.",Delivering Food to Nest or Cavity,,,Adult making several food deliveries to Baccharis pilularis shrub between the 2 areas.,,34.4228248,-119.8515796,20,1,,"Compton field notes, airport project for URS",-13341816.811841493,4085719.358894053
1033,California Towhee,CALT,Melozone crissalis,"Goleta, Atascadero Ck",1 Sep 2005,"Compton, D.",Fledgling Begging,,,Begging fledgling under parental care. Apparent feeding witnessed, nr San Marcos Rd,34.427302,-119.794593,120,10,,Compton field notes,-13335473.092547454,4086323.5775850215
1103,California Towhee,CALT,Melozone crissalis,"Gaviota Coast, Refugio Rd",20 May 2006,"Compton, D.",Carrying Food,Blackberry,,Adult carrying food into Rubus thicket and reemerging without it. No begging sounds heard.,nr Refugio State Beach,34.4947174,-120.0657222,100,83,,Observer,-13365655.05703064,4095425.51171792
1234,California Towhee,CALT,Melozone crissalis,"Ellwood, Bacara",5 Jul 2006,"Compton, D.",Feeding Fledgling,,,"Adult feeding begging juvenile, spotted/streaked underneath, with tail not fully grown in", tennis courts,34.4332306,-119.9156093,40,9,,Observer,-13348944.56544114,4087123.7191691026
1339,California Towhee,CALT,Melozone crissalis,"Santa Barbara, nr Cieneguitas x Foothill",23 Apr 2007,"Compton, D.",Carrying Food,,,"Adult carrying food, approaching thicket hesitantly. On 30 April 2007, Compton noted: ""Adult feeding juv still with yellow on outside of gape and 2/3 length tail"".",,34.4496887,-119.7580731,20,65,,observer,-13331407.715875635,4089345.2511175214
1437,California Towhee,CALT,Melozone crissalis,"Goleta, UCSB, Old Gym wetland",17 May 2007,"Sanchez, F.",Feeding Fledgling,,,Adult feeding fledgling,,34.4140381,-119.8487794,75,14,,observer,-13341505.095003374,4084533.647449325
1907,California Towhee,CALT,Melozone crissalis,"Goleta, wetlands at Mesa x Los Carneros Rd",18 Jul 2007,"Compton, D.",Fledgling under Parental Care,,,fully feathered but fresh begging juv under parental care,,34.42275,-119.8601504,7,1,,observer,-13342770.908933185,4085709.2645655232
1925,California Towhee,CALT,Melozone crissalis,"Ellwood, Haskell's Beach",23 Jul 2007,"Compton, D.",Fledgling Begging,,,begging juv under close parental care,,34.4313659,-119.9159362,5,5,,Bird Island monitoring notes,-13348980.955782682,4086872.0475629615
2044,California Towhee,CALT,Melozone crissalis,"Goleta, Lake Los Carneros",20 Apr 2008,"Compton, D.",Feeding Fledgling,,,"adult feeding begging recent fledgling with stubby tail, noticeable dark streaks on breast",,34.4424598,-119.8514963,5,21,,observer,-13341807.538927913,4088369.432565669
2088,California Towhee,CALT,Melozone crissalis,"Ellwood, Bell Creek estuary",29 Apr 2008,"Compton, D.",Carrying Food,,,food carry into thicket where begging call heard,,34.4303285,-119.914834,50,7,,observer,-13348858.259439928,4086732.035983901
2097,California Towhee,CALT,Melozone crissalis,Santa Maria,3 May 2008,"Chavez, J.",Fledgling under Parental Care,,,fledgling seen under parental care,,34.9038873,-120.4208014,40,95,,observer,-13405182.292765925,4150827.4707600726
2098,California Towhee,CALT,Melozone crissalis,"Ellwood, Devereux Creek nr Coronado",3 May 2008,"Compton, D.",Carrying Food,,,food carry into thicket on ground,,34.4235439,-119.8885131,5,6,,observer,-13345928.230254708,4085816.4025586047
2099,California Towhee,CALT,Melozone crissalis,"Santa Barbara, Andree Clark Bird Refuge",3 May 2008,"Compton, D.",Fledgling Begging,,,begging juv under parental care,,34.4213913,-119.6576066,50,1,,observer,-13320223.83625385,4085525.9083276107
2131,California Towhee,CALT,Melozone crissalis,"Goleta, Winchester Cyn",9 May 2008,"Compton, D.",Carrying Nesting Material,,,nest material carry (dead grasses),,34.440507,-119.9022731,10,24,,observer,-13347459.986448023,4088105.8414589465
2171,California Towhee,CALT,Melozone crissalis,"Goleta, Atascadero Ck mitigation area",20 May 2008,"Compton, D.",Carrying Nesting Material,,,nest material carry,"With Keefe, H.",34.4237747,-119.8066523,10,11,,observer,-13336815.527682776,4085847.549554874
2389,California Towhee,CALT,Melozone crissalis,"Goleta, Lake Los Carneros",12 Jul 2008,"Compton, D.",Carrying Food,,,adult carrying food; earlier begging fledgling seen under care of adult in same location,adult still tending young on 19 Jul 08,34.4433319,-119.8512104,12,22,,observer,-13341775.712685492,4088487.1515796715
2404,California Towhee,CALT,Melozone crissalis,"Goleta, Lake Los Carneros",19 Jul 2008,"Compton, D.",Fledgling Begging,,,begging fledgling under care of ad,,34.440718,-119.8504252,50,16,,observer,-13341688.304621322,4088134.3221757496
2485,California Towhee,CALT,Melozone crissalis,"Santa Barbara, nr Cieneguitas x Foothill",19 Apr 2009,"Compton, D.",Carrying Food,,,adult carrying food,,34.4496084,-119.7584667,10,63,,observer,-13331451.53122721,4089334.4110750887
2778,California Towhee,CALT,Melozone crissalis,"Goleta, Atascadero Ck mitigation area",9 May 2010,"Compton, D.",Carrying Nesting Material,,,adult gathering nesting material,,34.4246016,-119.8056182,10,9,,observer,-13336700.412197348,4085959.1423370987
2791,California Towhee,CALT,Melozone crissalis,"Ellwood, Devereux Creek nr Coronado",15 May 2010,"Compton, D.",Fledgling Begging,,,begging fledgling under parental care,"With Holmgren, M.",34.4236357,-119.8877153,15,6,,observer,-13345839.419564951,4085828.791171605
