Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
156,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, 5797 West Camino Cielo",6 Jun 2000,"Larson, Arion",Fledgling under Parental Care,,,Arion reports flock of quail chicks with adults on driveway this morning,driveway,34.50193,-119.82407,250,670,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338754.45717757,4096399.7397275497
316,California Quail,CAQU,Callipepla californica,Santa Ynez River x Live Oak Campground,9 Jun 2002,"Compton, D.",Fledgling under Parental Care,,,"Adult with 2 mobile, 1/2-size chicks","With Radasky, K",34.5575336,-119.8810902,50,232,,"Compton field notes, Cachuma project for URS",-13345101.916806499,4103913.120748851
1037,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, nr West Camino Cielo 1 mi S of SR154",18 Sep 2005,"Holmgren, M.",Fledgling under Parental Care,,,"Adults with at least 7 young no more than 4 inches long, but able to fly.",Seen again on 20 September,34.5020448,-119.82392,20,672,,Observer,-13338737.759253949,4096415.2467972077
1041,California Quail,CAQU,Callipepla californica,"Santa Barbara, Calle Real nr El Sueno Rd",22 Sep 2005,"Trautwein, B.",Fledgling under Parental Care,,,"Female with fluffy, tangerine-sized chicks",,34.4415328,-119.7663462,50,40,,Observer,-13332328.673154915,4088244.3043108676
1244,California Quail,CAQU,Callipepla californica,"VAFB, nr Solvang Gate",9 Jul 2006,"Compton, D.",Fledgling under Parental Care,,,Four very small chicks under care of two adults,,34.6714982,-120.5598315,50,8,,Observer,-13420659.052702865,4119328.189114399
1685,California Quail,CAQU,Callipepla californica,"Solvang, Fjord Rd at Santa Ynez River",13 Jun 2007,"Compton, D.",Family Group in Close Association,,,family group with juvs 2/3+ adult size,,34.5901861,-120.1525182,5,115,,observer,-13375317.143553536,4108327.5976631185
2361,California Quail,CAQU,Callipepla californica,"N VAFB, Cross Rd nr VAFB airport runway",27 Jun 2008,"Chavez, J.",Fledgling under Parental Care,,,juv seen with presumed parent,,34.7544467,-120.588861,40,83,,observer,-13423890.601860847,4130561.2991204825
2428,California Quail,CAQU,Callipepla californica,"VAFB, Santa Ynez River nr Union Sugar",7 Sep 2008,"Compton, D.",Fledgling under Parental Care,,,adult with 6+ chicks half adult height,"With Holmgren, M.",34.6774746,-120.5423161,400,10,,SYRE Animal Records 7 September 2008.pdf,-13418709.247293822,4120137.152954481
2608,California Quail,CAQU,Callipepla californica,"Cachuma Lake, DeVaul Cyn",27 May 2009,"Kelly, M.",Fledgling under Parental Care,,,2 adult with 20 very small chicks,SE of  Arrowhead Island,34.5598895,-119.9170005,300,228,,Cachuma Lake quarterly report,-13349099.433116732,4104231.570227223
2766,California Quail,CAQU,Callipepla californica,"San Marcos Foothills, No-name Creek",7 May 2010,"Harris, D.",Fledgling under Parental Care,,,adults with 6 or 8 golf-ball sized chix.,,34.45706,-119.7558,150,96,,,-13331154.67554111,4090340.3790083095
3097,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, West Camino Cielo",15 Jul 2011,"Holmgren, M.",Fledgling under Parental Care,,,"flock of mixed-age quail with 4 or 5 very small, dollar-sized fledglings in flock crossing road.",,34.50306,-119.82039,100,648,,"Holmgren, M.",-13338344.80145145,4096552.37993154
3125,California Quail,CAQU,Callipepla californica,"Goleta, COPR",15 May 2012,"O'Loghlen, A.",Fledgling under Parental Care,,,small family group,,34.40805,-119.87835,,11,,"A. O'Loghlen, C. Sandoval",-13344796.879137825,4083725.6613394623
3179,California Quail,CAQU,Callipepla californica,"Santa Ynez Valley, Alisos Rd 0.6mi W of Las Cruzitas Ranch",16 May 2014,"Holmgren, M.",Fledgling under Parental Care,,,"I flushed male with car, female came up next and I saw the grasses moving as chicks moved away.  No visuals of chicks.",Discovered while doing point count survey of grassland birds (pt W37).,34.61037,-119.97202,200,260,,Grassland Bird Survey data 16 May 2014 Pts W28-40.pdf,-13355224.175840432,4111057.2413781155
3193,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, Camino Romaldo",10 Jun 2014,"Holmgren, M.",Fledgling under Parental Care,,,10 really tiny chicks were ushered acros the street by two ad.,,34.50301,-119.81937,,642,,Pers Obs,-13338231.25557084,4096545.6258964613
3220,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, Camino Romaldo",15 Jul 2015,"Holmgren, M.",Fledgling under Parental Care,,,on a fast driveby I saw ad quail ushering 4 very small babies across the road.,,34.50034,-119.81554,,606,,,-13337804.9019211,4096184.9663073434
3268,California Quail,CAQU,Callipepla californica,"Santa Ynez River, E end Gibralter Reservoir",18 Jun 1999,"Holmgren, M.",Fledgling under Parental Care,,,pr with 12 hatchlings,,34.51181,-119.63149,400,485,,Mono 18 June 1999.doc,-13317316.5496406,4097734.398469599
3337,California Quail,CAQU,Callipepla californica,"Santa Ynez Valley, Kelly Ck",6 Jun 1997,"Holmgren, M.",Fledgling under Parental Care,,,"covey flushed, did not see the size of the birds",from Paradise Rd to SY River,34.54113,-119.84994,400,271,,CCBER Field Note Archive,-13341634.29240439,4101696.0788513697
3343,California Quail,CAQU,Callipepla californica,Purisima Hills,3 Jul 2012,"Holmgren, M.",Fledgling under Parental Care,,,"""bunch of fresh babies""",With Elihu Gevirtz,34.71734,-120.35119,50,365,,Purisima Hills fieldnotes 3 July 2012.pdf,-13397433.187164517,4125534.8167942367
3414,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, East Camino Cielo",3 Jun 2013,"Holmgren, M.",Fledgling under Parental Care,,,13 dollar-sized chicks,,34.5053,-119.73985,15,1001,,ECC data pts 338-343 3 June 2013.pdf,-13329379.129662959,4096854.964859598
3433,California Quail,CAQU,Callipepla californica,"Goleta, UCSB campus",21 Jul 1977,,No suitable category,,,chick,freeze dried skin at CCBER,34.41357,-119.84632,500,14,,UCSB 12009,-13341231.31584772,4084470.48371147
3635,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, Camino Romaldo",3 Jun 2016,"Holmgren, M.",Fledgling under Parental Care,,,adult with several chicks orange-sized.,,34.49987,-119.81402,75,590,,Observer,-13337635.696295096,4096121.480609045
3718,California Quail,CAQU,Callipepla californica,Old Coast Hwy nr Nojoqui Ck,17 Jun 2016,"O'Loghlen, A.",Family Group in Close Association,,,4 chicks w parents,"Kincaid, G. present",34.5383,-120.1917,12,195,https://goo.gl/S4ATij,Observer,-13379678.8415779,4101313.632096245
3726,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, Camino Romaldo",11 Jul 2016,"Holmgren, M.",Fledgling under Parental Care,,,about 6 fledglings at my watering hole,have photo,34.49866,-119.81154,15,588,https://goo.gl/iqwxQz,,-13337359.623957926,4095958.040351732
3733,California Quail,CAQU,Callipepla californica,Hwy 135 at Rancho de las Flores,10 Jul 2016,"Holmgren, M.",Fledgling under Parental Care,,,adults with 9 half-grown chicks,"Compton, D. present",34.75548,-120.34976,100,129,,,-13397274.000292685,4130701.302494079
3735,California Quail,CAQU,Callipepla californica,"Cachuma Lake, east end",10 Jul 2016,"Holmgren, M.",Fledgling under Parental Care,,,2 adults with at least 5 half-grown chicks.,"Compton, D. present",34.57024,-119.93698,15,235,,,-13351323.540883038,4105630.7650647224
3870,California Quail,CAQU,Callipepla californica,"Goleta, UCSB, Mesa Rd",23 Jul 2000,"Hubbard, D.",Juvenile Independent,,,6 chicks trying to mount the curb from campus to the N bluff,,34.42035,-119.84988,300,11,,California Quail in Goleta summary 29 May 2013.pdf,-13341627.613234943,4085385.387160084
3871,California Quail,CAQU,Callipepla californica,"Goleta, COPR, Dunes",24 Aug 2007,"Holmgren, M.",Fledgling under Parental Care,,,2 adult and 9 very small fledgling in the dunes,"MAH: ""the first breeding I am aware of in Goleta south of Hwy 101 in more than 15 years""",34.41187,-119.87974,234,5,,California Quail in Goleta summary 29 May 2013.pdf,-13344951.613230027,4084241.094771941
3872,California Quail,CAQU,Callipepla californica,"Goleta, COPR",15 Aug 2011,"Sandoval, C.",Fledgling under Parental Care,,,"Pair with 1 week old chicks crossing road by the loop. Also, a pair of quail with chicks that are almost adult size and the 9 chicks raised and released from Wildlife Care Network.",Loop Trail.  Uncertain how many breeding events occurred summer 2011 on COPR.,34.40986,-119.87837,150,9,,California Quail in Goleta summary 29 May 2013.pdf,-13344799.105527645,4083969.882099627
3873,California Quail,CAQU,Callipepla californica,"Goleta, COPR",11 Jul 2012,"Oetinger, J.",Fledgling under Parental Care,,,"Three adults and 8 chicks running across the path, twice.",,34.41319,-119.87797,500,3,,S11139227,-13344754.577731326,4084419.2081321324
3874,California Quail,CAQU,Callipepla californica,"Gaviota Coast, Farren Rd",6 Aug 2016,"Holmgren, M.",Fledgling under Parental Care,,,"10 chix at: 34.45001 -119.92180 between golf ball baseball-sized, but able to fly.",Wth Elena Klaver and Topiltzin Martinez.,34.45001,-119.9218,40,113,,S31067774,-13349633.711012796,4089388.624890955
3875,California Quail,CAQU,Callipepla californica,"Goleta, COPR",2 Sep 2011,"Sandoval, C.",Fledgling under Parental Care,,,C. Sandoval saw a pair of quail near residence pond with 12 1-week old chicks and another pair following with 6 2-week old chicks.,near Residence. Probably same brood: 14 October 2011 COPR Approx. 4 individuals in brush right at end of bike path to surf beach at coal oil pointï¿½ [an observer who identifies him/herself as ï¿½bird posterï¿½ on e-Bird.,34.40826,-119.87844,50,11,,California Quail in Goleta summary 29 May 2013.pdf,-13344806.897891996,4083753.9960738034
4191,California Quail,CAQU,Callipepla californica,"Santa Ynez River, ~2.3 W Avenue of the Flags",23 May 1997,"Holmgren, M.",Fledgling under Parental Care,,,several approximately 3 day old fledglings scrambling with adults on SYR,with J. Greaves,34.61645,-120.23218,400,86,,VAFB and Santa Lucia Cyn 23 May 1997.pdf,-13384185.05456521,4111879.62251207
