Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
36,California Scrub-Jay,CASJ,Aphelocoma californica,"Goleta, Winchester Cyn (= Bell Ck N of Hwy 101)",13 Jul 1996,"Holmgren, M.",Fledgling Begging,,,"""adult with 2 flying juvs begging, adult feeding cat food pellet""",,34.43852,-119.90552,120,19,,Winchester and Devereux Slough 13 July 1996.pdf,-13347821.429702679,4087837.6403218103
109,California Scrub-Jay,CASJ,Aphelocoma californica,Santa Ynez River between Pendola Sta. and P-Bar Camp,18 Jun 1999,"Whitney, K.",Carrying Food,oak,,active nest (food carries) in live oak,Los Padres NF Riparian Surveys,34.51212,-119.58412,700,474,,Pendola #5 18 June 1999.pdf,-13312043.34536172,4097776.2779741725
137,California Scrub-Jay,CASJ,Aphelocoma californica,"Santa Ynez Valley, Sedgwick Ranch",29 Apr 2000,"Holmgren, M.",Egg in Nest,Ceanothus,,"""Female flushed from nest...3 eggs in nest""","Figuerora Creek, at dam site",34.72363,-120.03553,100,392,,MSE Nesting Records,-13362294.076700713,4126386.702833824
198,California Scrub-Jay,CASJ,Aphelocoma californica,"Santa Ynez Mtns, 5797 West Camino Cielo",4 Aug 2000,"Holmgren, M.",Fledgling under Parental Care,,,Adults with 3 or 4 fully juv plumaged fledglings flying,,34.50081,-119.82534,150,681,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338895.832930874,4096248.4523635674
253,California Scrub-Jay,CASJ,Aphelocoma californica,"Santa Ynez Mtns, 5797 West Camino Cielo",9 Jun 2001,"Holmgren, M.",Fledgling under Parental Care,,,fam (fledged juvs with ad) at blue tank,driveway at lower hairpin,34.50168,-119.8254,150,668,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338902.512100324,4096365.9700504434
269,California Scrub-Jay,CASJ,Aphelocoma californica,"Santa Ynez Mtns, Windermere",4 Jul 2001,"Holmgren, M.",Feeding Fledgling,,,juv without tail being fed by ad, property near 5797 West Camino Cielo,34.50281,-119.82509,100,686,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338868.003058176,4096518.6097966526
292,California Scrub-Jay,CASJ,Aphelocoma californica,"Santa Ynez Mtns, Windermere",11 Aug 2001,"Holmgren, M.",Fledgling Begging,,,begging juv (full-tailed and also able to give an adult-like call), property near 5797 West Camino Cielo,34.50069,-119.82545,50,680,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338908.078074863,4096232.2431236953
443,California Scrub-Jay,CASJ,Aphelocoma californica,"Goleta, San Antonio Ck Trail",24 Apr 2004,"Compton, D.",Carrying Nesting Material,,,Pair gathering nesting material.,,34.4547477,-119.7830297,500,66,,Compton field notes,-13334185.871879565,4090028.2083029896
511,California Scrub-Jay,CASJ,Aphelocoma californica,"N VAFB, San Antonio Creek",30 May 2004,"Compton, D.",Juvenile Independent,,,"Independent juvenile (all dull gray head, gray mottling on underparts)", nr Southern Pacific Railroad,34.7859779,-120.6032956,30,14,,"MSE field notes, Vandenberg 2004",-13425497.454182649,4134834.2982389284
900,California Scrub-Jay,CASJ,Aphelocoma californica,"Santa Ynez River, Lompoc Federal Penitentiary",7 Jun 2005,"Compton, D.",Fledgling Begging,,,2 begging juveniles with an adult,nr Pt 114 on VAFB Point Count route.,34.67598,-120.51184,5,19,,"MSE field notes, Vandenberg 2005",-13415316.663360458,4119934.8388407934
1694,California Scrub-Jay,CASJ,Aphelocoma californica,"Solvang, Fjord Rd at Santa Ynez River",13 Jun 2007,"Compton, D.",No suitable category,,,juv,,34.5892644,-120.1512635,10,119,,observer,-13375177.470988438,4108202.96401948
