Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
34,Song Sparrow,SOSP,Melospiza melodia,"N VAFB, Santa Ynez River Estuary",4 Apr 1996,"Holmgren, M.",Feeding Fledgling,,,adult feeding fledged nestling,25m E of Ocean Beach parking lotOne of 4 other observers,34.6905,-120.59931,20,3,,Santa Ynez River Estuary 4 April 1996.pdf,-13425053.779220145,4121900.4697746327
88,Song Sparrow,SOSP,Melospiza melodia,"Goleta, East Storke Campus, student garden/greenhouse",6 May 1999,"Holmgren, M.",Carrying Nesting Material,Baccharis,,"""...carrying large wad of nest material in Baccharis scrub.""",,34.42082,-119.85781,50,6,,Storke Campus 6 May 99.docx,-13342510.376796931,4085448.8124199575
96,Song Sparrow,SOSP,Melospiza melodia,Santa Ynez River between Pendola Sta. and P-Bar Camp,27 May 1999,"Whitney, K.",Feeding Fledgling,,,seen feeding young and carrying food,this 'observation' may summarize more than one event.,34.51196,-119.58412,700,474,,Pendola 27 May 1999.pdf,-13312043.34536172,4097754.662726552
183,Song Sparrow,SOSP,Melospiza melodia,Santa Ynez River nr Santa Rosa Park,7 Jul 2000,"Whitney, K.",Nestling in Nest,,,Nest with Brown-headed Cowbird nestling,See also BRCO entry,34.60624,-120.30196,1000,72,,"Compton field notes, SYR project for URS",-13391952.928632764,4110498.651700415
209,Song Sparrow,SOSP,Melospiza melodia,"Goleta, nr Goleta Beach",18 Apr 2001,"Compton, D.",Copulation,,,Pair briefly copulating,,34.420337,-119.8298593,300,3,,Compton field notes,-13339398.919105617,4085383.6328494535
215,Song Sparrow,SOSP,Melospiza melodia,"Goleta, Santa Barbara Airport, W of main runway",2 May 2001,"Ball, M.",Fledgling out of Nest--Brancher,,,2 fledglings with half-length tails and some yellow in gape.,,34.42741,-119.8565318,300,2,,"Compton field notes, airport project for URS",-13342368.088223802,4086338.1530804713
216,Song Sparrow,SOSP,Melospiza melodia,"Goleta, Fowler Rd",2 May 2001,"Compton, D.",Fledgling under Parental Care,,,Fledged juvenile accompanied by 2 adults.,,34.42555,-119.8328526,250,2,,"Compton field notes, airport project for URS",-13339732.131737407,4086087.133289309
313,Song Sparrow,SOSP,Melospiza melodia,"Cachuma Lake, DeVaul Cyn",24 May 2002,"Compton, D.",Fledgling Begging,,,2 begging juveniles with adult,"With Mason, L.  South shore nr Arrowhead Island",34.5625176,-119.9171537,100,232,,"Compton field notes, Cachuma project for URS",-13349116.48726272,4104586.8239086373
442,Song Sparrow,SOSP,Melospiza melodia,"Goleta, Tucker's Grove County Park",24 Apr 2004,"Compton, D.",Fledgling Begging,,,Juvenile giving begging call and accompanied by 2 adults.,,34.4532515,-119.7842097,200,62,,Compton field notes,-13334317.228878703,4089826.219305672
452,Song Sparrow,SOSP,Melospiza melodia,"Goleta, Santa Barbara Airport, W of main runway",30 Apr 2004,"Compton, D.",Nestling in Nest,Coyotebrush,0.2,"Adult flushed from nest, which had 1+ small nestling",,34.4288988,-119.8570513,75,3,,"Compton field notes, airport project for URS",-13342425.918699266,4086539.0809035236
