Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
476,Warbling Vireo,WAVI,Vireo gilvus,"Carpinteria, Rincon Ck x Bates Rd",15 May 2004,"Greaves, J.",Adult at Nest (clarify),Western Sycamore,,Female on nest,Not sure if this is same mesting event as Rec # 491,34.379,-119.475327,50,19,,,-13299932.563999848,4079806.708263551
491,Warbling Vireo,WAVI,Vireo gilvus,"Carpinteria, Rincon Ck x Bates Rd",20 May 2004,"Greaves, J.",Delivering Food to Nest or Cavity,Western Sycamore,,Pair apparently feeding young in nest,Not sure if this is same mesting event as Rec # 476,34.37911,-119.47532,50,19,,,-13299931.784763413,4079821.545107928
622,Warbling Vireo,WAVI,Vireo gilvus,"N VAFB, Lompoc-Casmalia Rd",6 Jul 2004,"Compton, D.",Fledgling Begging,,,"Begging juvenile under parental care, but also pulling at leaves as if trying to feed itself; no food delivery witnessed",E of San Antonio Creek,34.76905,-120.5501659,30,42,,"MSE field notes, Vandenberg 2004",-13419583.083032653,4132540.0848505674
2665,Warbling Vireo,WAVI,Vireo gilvus,"Goleta, Lake Los Carneros",27 Jun 2009,"Compton, D.",Feeding Fledgling,,,adult feeding begging fledgling,"With Keefe, H.",34.4440569,-119.8503035,20,15,,observer,-13341674.757039292,4088585.0154725094
3326,Warbling Vireo,WAVI,Vireo gilvus,"Goleta, San Pedro Ck nr Cathedral Oaks Rd",21 Jun 1992,"Holmgren, M.",Feeding Fledgling,,,3 indiv. with fledgling being fed by adult,within 80m N of CO Rd,34.45134,-119.8425,23,25,,San Pedro 21 June 1992.pdf,-13340806.075392889,4089568.169518845
3338,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez Valley, Kelly Ck",6 Jun 1997,"Holmgren, M.",Feeding Fledgling,,,ad with food tending just fledged chick with no tail,from Paradise Rd to SY River,34.54143,-119.85163,400,274,,CCBER Field Note Archive,-13341822.422343832,4101736.6216724524
3659,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez Mtns, S. Refugio Rd",8 Jun 2016,"O'Loghlen, A.",Nest in Use (clarify),Western Sycamore,15,Bird on nest. 9 Jun obs. bringing food (JL),J. Lentz + 2 others,34.501136,-120.066451,5,92,https://goo.gl/cMMhEC,Observer,-13365736.186675532,4096292.4875830156
3665,Warbling Vireo,WAVI,Vireo gilvus,"Sisquoc River, nr Alamar Saddle",12 Jun 2016,"Holmgren, M.",Fledgling Begging,,,fledgling begging from adult,,34.70575,-119.62944,40,1654,,S30276376,-13317088.344684474,4123965.2950286916
4003,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez River, Sweeney Rd",18 May 1997,"Holmgren, M.",Fledgling under Parental Care,,,"1/2 tail, being fed by adult",with M. Kelly,34.6418,-120.40978,15,33,,VAFB and SYR May 18 1997.pdf,-13403955.396130098,4115309.114311136
4023,Warbling Vireo,WAVI,Vireo gilvus,"Goleta, Maria Ygnacia Ck",2 Jul 2006,"Holmgren, M.",Carrying Food,,,Adult carrying food at University bridge,"Pt 396. At University Rd bridge, N side",34.44536,-119.80329,5,25,,Maria Ygnacio Ck Point Counts 2 July 06.pdf,-13336441.238158885,4088760.9161438853
4108,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez Mtns, Kinevan Rd",25 May 1991,"Holmgren, M.",Feeding Fledgling,,,"several indiv, one feeding young","With Cromwell, J. and Haupt, D.",34.50686,-119.82573,250,620,,"COPR, San Pedro, Kinevan, Goleta Slough 25 May 1991.pdf",-13338939.247532284,4097065.6984524876
4175,Warbling Vireo,WAVI,Vireo gilvus,"N VAFB, Upstream to Lower San Antonio Creek",31 May 2005,"Holmgren, M.",Family Group in Close Association,,,family seen and heard calling,point 39,34.77124,-120.45532,20,89,,VAFB May 2005 PC Holmgren front pp only.pdf,-13409024.885740822,4132836.8658233043
4311,Warbling Vireo,WAVI,Vireo gilvus,"N VAFB, Wildlife Management Ponds",21 May 1996,"Greaves, J.",Adult at Nest (clarify),,,nest with female present,,34.68605,-120.56509,50,7,,"VAFB Punchbowl WM Ponds, 13th St Greaves 21 May 1996.pdf",-13421244.4262452,4121298.018700349
4584,Warbling Vireo,WAVI,Vireo gilvus,"Gaviota Coast, Refugio Rd",15 May 2016,"Compton, D.",Carrying Nesting Material,,,adult carrying nesting material,"male singing very nearby. With Pollock, B., Pollock, D.  2.5 mi N of US 101",34.50127,-120.06654,20,93,,Observer,-13365746.094110211,4096310.58799923
4922,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez Valley, Quiota Ck",9 Jul 1995,"Holmgren, M.",Feeding Fledgling,,,adult fed fledgling,"With Gallo, J., Holzapfel, C. Between upper (of 5) creek Xings and downcreek 0.5 mi.",34.56051,-120.08559,250,192,,Quiota2 9 July 1995.pdf,-13367866.730409825,4104315.445364791
5018,Warbling Vireo,WAVI,Vireo gilvus,"Gaviota Coast, Refugio Rd",12 Apr 2017,"O'Loghlen, A.",Nest Building,Coast Live Oak,5,Nest under construction,"Rothstein, S., Warner, R. present",34.50387,-120.06561,0,122,https://goo.gl/tv0KSY,,-13365642.566983776,4096661.7958642757
5079,Warbling Vireo,WAVI,Vireo gilvus,"San Rafael Mtns, Fir Cyn",23 Jul 2016,"Chavez, J.",Fledgling Begging,,,Fledglings begging for food,,34.73571,-119.96673,60,1037,,,-13354635.295734135,4128022.9392128293
5217,Warbling Vireo,WAVI,Vireo gilvus,Alisal Rd,6 May 2017,"Compton, D.",Feeding Fledgling,,,Adult feeding one of two very stationary begging fledglings. The one seen was tailless.,near Nojoqui Falls County Park,34.540611,-120.164802,20,236,,observer,-13376684.56991454,4101625.9401159533
5298,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez River, Buellton",16 May 2017,"Compton, D.",Fledgling Begging,,,Persistently begging fledgling under close care of adult,,34.606633,-120.2032,20,95,,S36924011,-13380959.01572202,4110551.8044372764
5370,Warbling Vireo,WAVI,Vireo gilvus,"Burton Mesa, S slope Sta Lucia Cyn",22 May 2004,"Holmgren, M.",Adult at Nest (clarify),oak,7.6,Bird flying to nest; probably incubating,10m E of Pt 275,34.734124,-120.45967,5,155,,Burton Mesa Preserve 22 May 2004.pdf,-13409509.125525773,4127808.1018247567
5381,Warbling Vireo,WAVI,Vireo gilvus,"Burton Mesa Preserve, Santa Lucia Cyn",25 Jul 2004,"Holmgren, M.",Fledgling under Parental Care,,,Adult with dependent juvenile,,34.72983,-120.480073,40,110,,Burton Mesa Preserve 25 July 2004.pdf,-13411780.377096428,4127226.463157005
5505,Warbling Vireo,WAVI,Vireo gilvus,"Carpinteria, Rincon Ck x Bates Rd",4 Jun 1992,"Holmgren, M.",Feeding Fledgling,,,4 minimum. Seen feeding young upstream from bridge,"With Andrews, R.",34.37916,-119.47507,15,18,,RINCON10 4 June 1992.pdf,-13299903.954890715,4079828.289134543
5551,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez Mtns, Kinevan Rd",6 Jun 2017,"Holmgren, M.",Feeding Fledgling,,,"Adult feeding begging, fully dependent fledgling",,34.50653,-119.82006,5,592,,S37408244,-13338308.066019488,4097021.1198635157
5656,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez Mtns, Kinevan Ranch",15 Jun 2017,"Fritz, W.",Fledgling under Parental Care,,,2 fledglings and 2 adults together,,34.50699,-119.82679,50,614,,SB Co. Birding post 25520,-13339057.246192526,4097083.2597632706
5755,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez Mtns, Kinevan Ranch",28 Jun 2017,"Holmgren, M.",Fledgling Begging,,,Extensive chasing with accelerated sounds of being fed,,34.50725,-119.82618,10,623,,,-13338989.34130314,4097118.3824670156
5864,Warbling Vireo,WAVI,Vireo gilvus,"Los Alamos, Bell St x San Antonio Ck",18 May 2003,"Greaves, J.",Nest Building,,,nest found at lining stage; birds here concerned,at Bell St. Bridge,34.749999,-120.29078,120,165,,San Antonio Ck at Los Alamos 18 May 03.doc,-13390708.376725696,4129958.6935453317
5938,Warbling Vireo,WAVI,Vireo gilvus,"Gaviota Coast, Refugio Rd 1st and 2nd stream Xings",11 Jun 2017,"Turner, T.",Feeding Fledgling,,,Adult feeding fledgling,at 2nd creek crossing,34.47056,-120.06922,,18,,S37527650,-13366044.430345539,4092163.111192935
5980,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez Mtns, Kinevan Rd",2 Jun 1981,"Lehman, P.",Fledgling under Parental Care,,,two just-fledged juveniles,Lehman file ref 124,34.50608,-119.81908,200,612,,"BOSB, 1994",-13338198.97291851,4096960.3311630064
6084,Warbling Vireo,WAVI,Vireo gilvus,"Goleta, San Pedro Ck",29 Jun 2003,"Holmgren, M.",Feeding Fledgling,,,ad feeding full-tailed fledgling,,34.45098,-119.84245,10,25,,San Pedro 29 June 03.pdf,-13340800.509418348,4089519.5706907376
6129,Warbling Vireo,WAVI,Vireo gilvus,"Gaviota Coast, Refugio Rd 1st and 2nd stream Xings",12 Aug 2017,"Chen, J.",Feeding Fledgling,,,Two instances of adult feeding juvenile about 2 minutes apart in snag overhanging creek.,1st creek crossing N of Hwy 101. K. Pearlman also present. Submitted photo of both birds moments after the feedings.,34.47055,-120.06901,3,16,https://goo.gl/r27bw3,None,-13366021.053252473,4092161.760911843
6133,Warbling Vireo,WAVI,Vireo gilvus,"Gaviota Coast, Refugio Rd 1st and 2nd stream Xings",12 Aug 2017,"Chen, J.",Feeding Fledgling,,,Two instances of adult feeding juvenile about 2 minutes apart in snag overhanging creek.,1st creek crossing N of Hwy 101. K. Pearlman also present. Submitted photo of both birds moments after the feedings.,34.47055,-120.06901,3,16,,None,-13366021.053252473,4092161.760911843
6322,Warbling Vireo,WAVI,Vireo gilvus,"Goleta, San Jose Ck",5 Jun 2000,"Holmgren, M.",Feeding Fledgling,,,"adult feeding fuzzy-headed, flying fledgling",between North Patterson and Cathedral Oaks Rd,34.45452,-119.81096,320,31,,San Jose Ck 5 June 2000.pdf,-13337295.058653269,4089997.4682655567
6528,Warbling Vireo,WAVI,Vireo gilvus,Alisal Rd,20 Apr 2018,"O'Loghlen, A.",Nest Building,ash,3,Vireo was observed building a nest.,"Hackamack, G. present",34.54023,-120.166,3,231,https://goo.gl/Cq8Ncg,ID311,-13376817.930664511,4101574.4512648443
7018,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez Mtns, Refugio Rd",30 Jun 2018,"Turner, T.",Fledgling with Presumed Parent,,,"Two fledglings making begging-like calls, flying around aimlessly, not very afraid of me. Poorly marked, plumage looked like a juvenile.",,34.50431,-120.06554,20,133,,S46829119,-13365634.774619421,4096721.2321252455
7073,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez Mtns, Kinevan Rd",8 Jul 2018,"Holmgren, M.",Fledgling with Presumed Parent,,,Adult and fledgling in several chases,,34.50686,-119.82171,10,597,,S47077823,-13338491.743179295,4097065.6984524876
7108,Warbling Vireo,WAVI,Vireo gilvus,Nojoqui Falls County Park,12 Jul 2018,"O'Loghlen, A.",Fledgling under Parental Care,,,Three fledglings under parental care,"Kincaid, G., Pearlman, K. present",34.53541,-120.17577,2,217,,ID667,-13377905.522089561,4100923.0903469273
7183,Warbling Vireo,WAVI,Vireo gilvus,"Goleta, San Jose Ck nr Cathedral Oaks",20 May 1993,"Haupt, D.",Delivering Food to Nest or Cavity,Black Cottonwood,10,food carry to nest,,34.45441,-119.81247,185,31,,San Jose Ck 20 May 1993.pdf,-13337463.151084365,4089982.618035956
7695,Warbling Vireo,WAVI,Vireo gilvus,"N VAFB, Santa Ynez River Estuary",6 Apr 1995,"Holmgren, M.",Carrying Nesting Material,,,"carrying nesting material, nest-lining fuzz",at 35th St willow woodland,34.6857,-120.58568,100,4,,SYRE Savannah Sparrow survey Holmgren 6 April 1995.pdf,-13423536.494560633,4121250.6362816766
8243,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez River, Juncal Camp",5 Jun 2019,"Holmgren, M.",Feeding Fledgling,,,2 adults feeding one begging fledgling at river crossing.,,34.48643,-119.54194,12,552,,ID1257,-13307347.889240062,4094306.211211988
8295,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez Mtns, Kinevan Rd",9 Jun 2019,"Holmgren, M.",Fledgling Begging,,,Fledgling begging from adult,,34.50686,-119.82159,15,597,,ID1306,-13338478.3848404,4097065.6984524876
8382,Warbling Vireo,WAVI,Vireo gilvus,"Santa Ynez Mtns, Kinevan Ranch",22 Jun 2019,"Holmgren, M.",Family Group in Close Association,,,Family of 3 together.,,34.50679,-119.82734,10,617,,ID1403,-13339118.471912464,4097056.24237341
8572,Warbling Vireo,WAVI,Vireo gilvus,"San Rafael Mtns, Davy Brown Camp",10 Jul 2019,"Haupt, D.",Feeding Fledgling,,,Adult feeding fledgling,,34.75736,-119.95291,25,652,,ID1579,-13353096.860371374,4130956.031019696
8734,Warbling Vireo,WAVI,Vireo gilvus,"Goleta, Atascadero Ck",9 Aug 2019,"Altstatt, J.",Feeding Fledgling,,,Fledgling begging (shaking wings) and being fed by adult. Both individuals foraging in willows to south of creek channel.,Seen at close range N of mitigation area,34.42552,-119.80312,5,8.6,,ID1695,-13336422.313845448,4086083.0846287687
8885,Warbling Vireo,WAVI,Vireo gilvus,Orcutt,13 Aug 2019,"Kisner, D.",Fledgling with Presumed Parent,,,"Fledgling found flower pot in back yard. Bird stunned, then flew away.",[Ed. note: ID confirmed by Avery Berkowitz],34.86336,-120.4108,100,160,https://tinyurl.com/wayuc6r,,-13404068.942010704,4145327.7828000984
