Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
4,Wilson's Warbler,WIWA,Cardellina pusilla,Santa Ynez River at Solvang,30 Jun 1934,"Rett, E.",Nestling in Nest,,,"""Nest with 3 young and 1 Cowbird""","8-July-34, Returned to find empty nest""",34.58559,-120.1458,1000,111,,Rett 1934-1941.pdf,-13374569.276950486,4107706.119932718
18,Wilson's Warbler,WIWA,Cardellina pusilla,"Santa Ynez River, Floradale Ave",18 Jul 1992,"Holmgren, M.",Feeding Fledgling,,,2 adults feeding 2 fledgling cowbirds,"With Greaves, J.  See also Wilson's Warbler rec 16.",34.67128,-120.49501,500,16,,SYR Floradale and estuary 18 July 1992.pdf,-13413443.156330407,4119298.654727598
159,Wilson's Warbler,WIWA,Cardellina pusilla,"Santa Ynez River, Floradale Ave",7 Jun 2000,"Compton, D.",Juvenile Independent,,,Independent juvenile with beginnings of black cap,"With Greaves, J.",34.6720104,-120.4931458,300,15,,"Compton field notes, SYR project for URS",-13413235.634535668,4119397.5180768804
194,Wilson's Warbler,WIWA,Cardellina pusilla,"Carpinteria, Rincon Ck x Bates Rd",14 Jul 2000,"Compton, D.",Fledgling Begging,,,"""...one begging juvenile with an adult on the SB side""",,34.37901,-119.47525,40,19,,MSE Nesting Records,-13299923.992399057,4079808.05706678
479,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Shuman Creek",18 May 2004,"Compton, D.",Fledgling Begging,,,1+ juveniles begging from 2 adults,,34.8415155,-120.5799048,30,35,,"MSE field notes, Vandenberg 2004",-13422893.602237402,4142364.5364000127
492,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Wildlife Management Ponds",20 May 2004,"Compton, D.",Fledgling Begging,,,1+ begging juvenile with 2 adults,,34.6804035,-120.5669692,30,7,,"MSE field notes, Vandenberg 2004",-13421453.617832297,4120533.629358586
493,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Wildlife Management Ponds",20 May 2004,"Compton, D.",Fledgling Begging,,,"2 begging juveniles, whitish bellies, some white feathers on head",,34.6844911,-120.5640011,150,7,,"MSE field notes, Vandenberg 2004",-13421123.210451674,4121086.9789483743
497,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough",24 May 2004,"Compton, D.",Fledgling Begging,,,"2 begging juveniles with adult, mostly gray underparts", North side,34.77406,-120.4662221,30,82,,"MSE field notes, Vandenberg 2004",-13410238.5019614,4133219.033744611
498,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough",24 May 2004,"Compton, D.",Feeding Fledgling,,,Adult feeding begging juvenile, North side,34.7710027,-120.4562551,30,87,,"MSE field notes, Vandenberg 2004",-13409128.980596663,4132804.7073949915
499,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough",24 May 2004,"Compton, D.",Feeding Fledgling,,,"2 adults feeding 3 begging fledglings who are moving around a lot and are generally very yellow, but have no black caps",North side,34.7698985,-120.4547487,30,89,,"MSE field notes, Vandenberg 2004",-13408961.288915731,4132655.0696034194
526,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough",3 Jun 2004,"Compton, D.",Fledgling Begging,,,Begging juvenile (overall fairly gray-brown) being fed by adult,From San Antonio Rd East,34.7697486,-120.4769845,20,85,,"MSE field notes, Vandenberg 2004",-13411436.566849114,4132634.755770301
527,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough",3 Jun 2004,"Compton, D.",Fledgling Begging,,,3 young fledglings (overall fairly gray-brown with faint wing bars) begging from adult in center of territory of singing bird,From San Antonio Rd East,34.7647798,-120.4647591,30,86,,"MSE field notes, Vandenberg 2004",-13410075.641546369,4131961.425255533
528,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough",3 Jun 2004,"Compton, D.",Fledgling Begging,,,Juvenile already with black on forecap begging from adult,From San Antonio Rd East,34.76224,-120.4580634,30,91,,"MSE field notes, Vandenberg 2004",-13409330.279631864,4131617.2683037585
529,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Santa Ynez River",4 Jun 2004,"Compton, D.",Fledgling Begging,,,"1 begging juvenile seen (darkening cap, grayish on belly and flanks) and another heard near where a male was singing",1.5 km E of 13th St.,34.6807655,-120.5365332,30,11,,"MSE field notes, Vandenberg 2004",-13418065.497810513,4120582.6331860316
533,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck W of California Hwy 1",6 Jun 2004,"Compton, D.",Carrying Nesting Material,,,"Independent juvenile in territory where male is singing and another adult is seen carrying nest material into blackberry thicket, cautious in my presence",,34.7801336,-120.5128875,30,48,,"MSE field notes, Vandenberg 2004",-13415433.270527065,4134042.175652313
542,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Creek",10 Jun 2004,"Compton, D.",Fledgling Begging,,,Juvenile (grayish belly and sides) following adult and begging; one food delivery witnessed, W of Lompoc-Casmalia Rd,34.7741066,-120.5593805,30,18,,"MSE field notes, Vandenberg 2004",-13420608.847612517,4133225.3491114415
543,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Creek",10 Jun 2004,"Compton, D.",Feeding Fledgling,,,"Adult delivering food to fledgling, which is mostly yellow beneath, thus presumably a more advanced fledgling", W of Lompoc-Casmalia Rd,34.7741007,-120.5590857,30,18,,"MSE field notes, Vandenberg 2004",-13420576.030626629,4133224.5495261736
559,Wilson's Warbler,WIWA,Cardellina pusilla,"S VAFB, Honda Creek",16 Jun 2004,"Compton, D.",Juvenile Independent,,,Independent juvenile with the beginnings of a black cap feeding self,"Middle Honda, Nr HO 133 on Point Count route",34.60164,-120.569803,10,172,,"MSE field notes, Vandenberg 2004",-13421769.075005308,4109876.5264103008
595,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",27 Jun 2004,"Compton, D.",Juvenile Independent,,,Independent juvenile with dark olive cap feeding self,,34.67961,-120.5637508,30,7,,"MSE field notes, Vandenberg 2004",-13421095.34718313,4120426.21425975
602,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck nr El Rancho Rd",30 Jun 2004,"Compton, D.",Feeding Fledgling,,,One adult feeding one juvenile,,34.7740261,-120.5702208,30,16,,"MSE field notes, Vandenberg 2004",-13421815.58428856,4133214.439520768
603,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Creek",30 Jun 2004,"Compton, D.",Fledgling Begging,,,"Family group with 2 adults and 1+ fledgling (olive cap with small amount of black). Begging call heard, but juvenile appears to be feeding self.", x El Rancho Rd,34.7732013,-120.573162,150,16,,"MSE field notes, Vandenberg 2004",-13422142.997174881,4133102.660874452
623,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Lompoc-Casmalia Rd",6 Jul 2004,"Compton, D.",Fledgling under Parental Care,,,"Juvenile under parental care, begging", nr San Antonio Creek,34.7713941,-120.5558333,30,25,,"MSE field notes, Vandenberg 2004",-13420213.975114774,4132857.749201116
624,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Lompoc-Casmalia Rd",6 Jul 2004,"Compton, D.",Feeding Fledgling,,,"Adult feeding begging juvenile (gray sides, brown and scruffy looking above)",W of Utah Gate,34.7661513,-120.5434907,20,76,,"MSE field notes, Vandenberg 2004",-13418840.003167707,4132147.2754965075
625,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Lompoc-Casmalia Rd",6 Jul 2004,"Compton, D.",Fledgling Begging,,,"Advanced juvenile (mostly black cap) begging from, following adult",W of Utah Gate,34.7627919,-120.5365117,30,91,,"MSE field notes, Vandenberg 2004",-13418063.104441464,4131692.052906766
633,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr Union Sugar",11 Jul 2004,"Compton, D.",Fledgling Begging,,,"Juvenile (some gray below; brown and scruffy above), moving around in willows, begging; adult chip heard, but adult not seen.",,34.6804852,-120.5378293,200,13,,"MSE field notes, Vandenberg 2004",-13418209.77900253,4120544.6890434637
643,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Mod Pond",15 Jul 2004,"Compton, D.",Fledgling Begging,,,"Apparent juvenile, independent of any adult; fully developed wings and tail, with no black on cap, but not at all likely to be a migrant from the northwest, given the time of year",,34.7874359,-120.5826667,10,27,,"MSE field notes, Vandenberg 2004",-13423201.055539025,4135031.920854739
644,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Wildlife Management Ponds",15 Jul 2004,"Compton, D.",Fledgling Begging,,,Juvenile (extensively gray below) begging from adult,,34.6866061,-120.55977,75,12,,"MSE field notes, Vandenberg 2004",-13420652.20655418,4121373.3030066867
647,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Santa Ynez River",17 Jul 2004,"Compton, D.",Juvenile Independent,,,"Independent juvenile (black border to cap, but otherwise as adult)",", 700m E of 13th St.",34.6787459,-120.5467964,50,9,,"MSE field notes, Vandenberg 2004",-13419207.992008423,4120309.2432982717
860,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Lompoc-Casmalia Rd",28 May 2005,"Compton, D.",Fledgling Begging,,,Juvenile (beginnings of a black cap) making begging sounds but apparently feeding self.,S of San Antonio Creek,34.7629729,-120.5383306,20,85,,"MSE field notes, Vandenberg 2005",-13418265.583463266,4131716.579221734
863,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Santa Ynez River",30 May 2005,"Compton, D.",Family Group in Close Association,,,"5 juveniles staying close together. Adults nearby, but not seen with young.", nr Terra Rd x 13th St,34.680728,-120.5467379,30,10,,"MSE field notes, Vandenberg 2005",-13419201.47981821,4120577.5568127437
882,Wilson's Warbler,WIWA,Cardellina pusilla,"Carpinteria, Rincon Ck x Bates Rd",1 Jun 2005,"Greaves, J.",Fledgling under Parental Care,,,Adult with fledgling,,34.37902,-119.47526,40,19,,,-13299925.105593966,4079809.4058701685
888,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Creek",4 Jun 2005,"Compton, D.",Fledgling Begging,,,"Begging juvenile, olive smudges on breast and no black on crown, following adult", nr Richmond Rd,34.7801463,-120.518809,20,42,,"MSE field notes, Vandenberg 2005",-13416092.448891796,4134043.896919406
889,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Creek",4 Jun 2005,"Compton, D.",Juvenile Independent,,,"Juvenile Wilson's Warbler, black on the forecrown but not yet in on the hindcrown, feeding self.", nr Richmond Rd,34.7804617,-120.5157075,20,47,,"MSE field notes, Vandenberg 2005",-13415747.1914911,4134086.6440627757
906,Wilson's Warbler,WIWA,Cardellina pusilla,"S VAFB, Bear Creek",9 Jun 2005,"Compton, D.",Fledgling Begging,,,"Begging fledgling (whitish belly, some downy feathers still on head) following adult",nr Surf Rd.,34.6515673,-120.6035184,30,34,,"MSE field notes, Vandenberg 2005",-13425522.2561652,4116630.76981991
922,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough North",13 Jun 2005,"Compton, D.",Feeding Fledgling,,,"2 fledglings (olive caps, olive breast markings) begging, moving about in riparian but not following adults, which approaches them for feeding",,34.77384,-120.4645683,50,81,,"MSE field notes, Vandenberg 2005",-13410054.401787525,4133189.218756237
923,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough North",13 Jun 2005,"Compton, D.",Juvenile Independent,,,"Juvenile in adult-like plumage but with only the beginnings of a black cap, independent and feeding self",,34.7738716,-120.4645683,50,81,,"MSE field notes, Vandenberg 2005",-13410054.401787525,4133193.5012678606
924,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough North",13 Jun 2005,"Compton, D.",Fledgling Begging,,,Begging fledgling (no black on cap) being fed by adult,,34.7701027,-120.4537373,50,90,,"MSE field notes, Vandenberg 2005",-13408848.700382743,4132682.7420091676
961,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Wildlife Management Ponds",27 Jun 2005,"Compton, D.",Fledgling Begging,,,2 begging fledglings following and adult closely.,,34.686053,-120.5632132,10,9,,"MSE field notes, Vandenberg 2005",-13421035.50182488,4121298.424836231
973,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Creek",2 Jul 2005,"Compton, D.",Fledgling Begging,,,Begging fledgling (pale belly and no black on crown) with 2 adults, at El Rancho Rd,34.7750549,-120.5720807,40,17,,"MSE field notes, Vandenberg 2005",-13422022.627409488,4133353.866245966
974,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck nr El Rancho Lateral Rd",2 Jul 2005,"Compton, D.",Fledgling under Parental Care,,,"Fledgling, possibly independent, despite plumage of fairly recent fledgling (pale gray undertail coverts, olive smudges on breast, olive crown)",,34.7772645,-120.5653622,20,19,,"MSE field notes, Vandenberg 2005",-13421274.727410594,4133653.325166672
978,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Wildlife Management Ponds",4 Jul 2005,"Compton, D.",Feeding Fledgling,,,"Adult feeding mobile, begging fledgling.",,34.6826668,-120.5651895,20,7,,"MSE field notes, Vandenberg 2005",-13421255.502534533,4120840.01509342
987,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",5 Jul 2005,"Compton, D.",Juvenile Independent,,,Family group: 2 adults and 2 young feeding selves,,34.6796664,-120.5688787,30,6,,"MSE field notes, Vandenberg 2005",-13421666.182399968,4120433.8490229654
1005,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Wildlife Management Ponds",11 Jul 2005,"Compton, D.",Feeding Fledgling,,,Adult feeding fledgling,,34.6864183,-120.5611943,15,12,,"MSE field notes, Vandenberg 2005",-13420810.758904915,4121347.8787589264
1168,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr 13th St",12 Jun 2006,"Compton, D.",Juvenile Independent,,,Independent juvenile,,34.6784561,-120.5521085,5,10,,Observer,-13419799.332275467,4120270.014102036
1206,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",27 Jun 2006,"Compton, D.",Juvenile Independent,,,"Independent juvenile, with the beginnings of a black cap, feeding self",,34.6793593,-120.5693023,30,5,,Observer,-13421713.33733627,4120392.277529451
