Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
76,Wrentit,WREN,Chamaea fasciata,"Santa Ynez Mtns, La Cumbre Peak",24 Jul 1998,"Holmgren, M.",Feeding Fledgling,,,"""Juv. being fed.""",,34.49476,-119.71496,50,1164,,MSE Nesting Records,-13326608.387537114,4095431.265583198
523,Wrentit,WREN,Chamaea fasciata,"N VAFB, Shuman Creek, Upper",2 Jun 2004,"Compton, D.",Feeding Fledgling,,,Adult delivering food to a fledged juvenile,,34.8378865,-120.5701598,30,41,,"MSE field notes, Vandenberg 2004",-13421808.793799624,4141872.332097355
546,Wrentit,WREN,Chamaea fasciata,"S VAFB, Honda Creek",11 Jun 2004,"Compton, D.",Family Group in Close Association,,,"Family group, including 2 fledglings",Lower Honda,34.6048678,-120.6246726,30,29,,"MSE field notes, Vandenberg 2004",-13427877.130937338,4110313.0654147062
885,Wrentit,WREN,Chamaea fasciata,"N VAFB, San Antonio Creek",2 Jun 2005,"Compton, D.",Family Group in Close Association,,,3 fledglings (tails <1/4 full length) travelling together, between Pacific Ocean and Southern Pacific Railroad,34.7932734,-120.6167225,10,12,,"MSE field notes, Vandenberg 2005",-13426992.129853584,4135823.1918054107
1249,Wrentit,WREN,Chamaea fasciata,"N VAFB, Wildlife Management Ponds",10 Jul 2006,"Compton, D.",Fledgling under Parental Care,,,"Fledgling (retained downy feathers on head, but tail nearly full length)",,34.6807626,-120.56554,5,8,,Observer,-13421294.520016057,4120582.2406130824
1602,Wrentit,WREN,Chamaea fasciata,"Santa Ynez Mtns, 5797 West Camino Cielo",3 Jun 2007,"Holmgren, M.",Feeding Fledgling,,,fledgling being fed by adult on oak on patio,,34.50065,-119.82545,50,680,,Natural History Notes 22 Apr 2011.doc.,-13338908.078074863,4096226.840048924
1714,Wrentit,WREN,Chamaea fasciata,"Big Pine Mtn, Alamar Saddle",16 Jun 2007,"Compton, D.",Carrying Food,,,food carry,,34.70261,-119.62804,22,1753,,observer,-13316932.497397361,4123540.113012921
2278,Wrentit,WREN,Chamaea fasciata,"N VAFB, Shuman Creek, Lower",2 Jun 2008,"Holmgren, M.",No suitable category,,,1-2 juvs,Pt. 6,34.8410564,-120.5858337,30,27,,Lower Shuman Ck 2 June 08.pdf,-13423553.604366368,4142302.2670843923
2322,Wrentit,WREN,Chamaea fasciata,"N VAFB, San Antonio Creek",12 Jun 2008,"Compton, D.",Carrying Food,,,food carry, nr Southern Pacific Railroad,34.7902981,-120.6098145,5,16,,Lower San Antonio Ck pts 35 to 23 12  June 08.pdf,-13426223.134811182,4135419.883999958
2958,Wrentit,WREN,Chamaea fasciata,"Santa Ynez Valley, Sedgwick Reserve",12 Feb 2011,"Baldwin, L.",Carrying Nesting Material,,,"Seen carrying nesting material at approximately 34-43.903/120-01.985, in Ceanothus chaparral",,34.73171,-120.03309,,568,,E-mail from Larry Ballard on same date,-13362022.457143176,4127481.112604129
3238,Wrentit,WREN,Chamaea fasciata,"San Marcos Foothills, Atascadero Ck",27 May 1997,"Holmgren, M.",Carrying Nesting Material,,,carrying nest lining material,,34.4595,-119.76105,400,101,,SMF field notes,-13331739.102867777,4090669.799151402
3241,Wrentit,WREN,Chamaea fasciata,"San Marcos Foothills, Cieneguitas Ck",18 Apr 1999,"Holmgren, M.",Carrying Nesting Material,,,"carrying nesting material, nest not looked for","With Ball, M.",34.46014,-119.75377,400,109,,San Marcos Foothills 18 Apr 1999.pdf,-13330928.6969748,4090756.2060285434
3465,Wrentit,WREN,Chamaea fasciata,"Carpinteria, Franklin Trail",20 Apr 2016,"Dawson, J.",Fledgling under Parental Care,,,family of 5 came out and showed at trail's edge. An adult came in with an insect delivery.,,34.42053,-119.51069,50,177,,e-mail with Jared Dawson 20 April.,-13303869.155152772,4085409.6776430183
3483,Wrentit,WREN,Chamaea fasciata,"Goleta, Atascadero Ck mitigation area",26 Apr 2016,"Holmgren, M.",Carrying Food,,,"ad carrying several green larvae, trying to deliver past us.","With Altstatt, J.",34.424533,-119.80584,25,9,,,-13336725.102860408,4085949.884507156
3666,Wrentit,WREN,Chamaea fasciata,Big Pine Rd,14 Jun 2016,"Holmgren, M.",Family Group in Close Association,,,Family group of 4 interacting,"BBS route, point Bp 14.",34.63462,-119.71708,50,1444,,,-13326844.384857595,4114337.6568054026
4016,Wrentit,WREN,Chamaea fasciata,"N VAFB, E of Hwy 1",8 Jul 1997,"Gallo, J.",Family Group in Close Association,,,family group of 6 with independent juveniles seen at oak fringe,"0.5 mi. SE of E Base Housing, 0.8 mi. E jct Hwy 1 X Mountain View Blvd",34.73949,-120.49542,150,148,,VAFB N Gallo 8 July 1997.pdf,-13413488.79732163,4128534.989461762
4168,Wrentit,WREN,Chamaea fasciata,"S VAFB, Honda Creek",26 May 2005,"Holmgren, M.",Family Group in Close Association,Coyotebrush and teasel,0.3,"3 fresh nestlings, 1 blue egg unattached. nest larger than necessary, both adults tending",lower Honda Creek. 16m E of point 126,34.60455,-120.60459,10,65,,VAFB May 2005 PC Holmgren front pp only.pdf,-13425641.546131535,4110270.084273889
4254,Wrentit,WREN,Chamaea fasciata,"N VAFB, Punchbowl Pond",22 Mar 1996,"Fahy, K.",Carrying Nesting Material,,,one carrying nesting material,,34.76612,-120.52201,250,136,,"VAFB, Punchbowl KAF-16 22 March 1996.pdf",-13416448.782581825,4132143.0340384194
