Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
68,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, Wildlife Management Ponds",11 Jun 1998,"Holmgren, M.",Fledgling under Parental Care,,,fledgling following adult male,"With Kisner, D.",34.68496,-120.56234,200,9,,SYR VAFB 11 June 1998.pdf,-13420938.297645517,4121150.4569702423
119,Yellow Warbler,YEWA,Setophaga petechia,Santa Ynez River in E portions of Gibralter Reservoir,27 Jun 1999,"Holmgren, M.",Fledgling under Parental Care,,,2 fledglings with barely grown tails with parents although feeding not seen at SYR6,Los Padres NF Riparian Surveys,34.52226,-119.64013,500,440,,Mono-Gibralter 27 June 1999.pdf,-13318278.350041052,4099146.228969165
177,Yellow Warbler,YEWA,Setophaga petechia,"Santa Ynez River, Buellton",6 Jul 2000,"Gallo, J.",Feeding Fledgling,,,Adult feeding juvenile,at Willow Flycatcher site,34.6160655,-120.213,400,95,,"Compton field notes, SYR project for URS",-13382049.946731796,4111827.613236771
320,Yellow Warbler,YEWA,Setophaga petechia,"Cachuma Lake, Horse Cyn",9 Jun 2002,"Compton, D.",Fledgling Begging,,,Juvenile begging from adult,"With Radasky, K",34.56646,-119.89545,150,239,,"Compton field notes, Cachuma project for URS",-13346700.442430392,4105119.7592753274
469,Yellow Warbler,YEWA,Setophaga petechia,"Santa Ynez Mtns, Kinevan Rd",8 May 2004,"Compton, D.",Feeding Fledgling,,,Adult male delivering food to begging juvenile,"With Moessner, R.",34.5067639,-119.8209868,300,612,,"Compton field notes, Cachuma project for URS",-13338411.236923553,4097052.7166088168
538,Yellow Warbler,YEWA,Setophaga petechia,"VAFB, Santa Ynez River x 13th St.",9 Jun 2004,"Compton, D.",Feeding Fledgling,,,"2 very gray juveniles with an adult. The adult makes several food deliveries to one juvenile, but the other stays slightly separate, moving around independently of the adult.",,34.6779666,-120.5533233,20,10,,"MSE field notes, Vandenberg 2004",-13419934.563192884,4120203.7525381874
852,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, Santa Ynez River",26 May 2005,"Compton, D.",Fledgling Begging,,,Adult male making repeated food deliveries to area in willows where warbler begging sounds heard., between 13th St and Union Sugar Ave,34.680481,-120.5438751,30,10,,"MSE field notes, Vandenberg 2005",-13418882.794379968,4120544.1204914665
890,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, San Antonio Rd West",4 Jun 2005,"Compton, D.",Feeding Fledgling,,,"Adult feeding begging, fledged young",,34.7789289,-120.5046857,20,55,,"MSE field notes, Vandenberg 2005",-13414520.250327475,4133878.900442231
909,Yellow Warbler,YEWA,Setophaga petechia,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",10 Jun 2005,"Compton, D.",Feeding Fledgling,,,"Adult feeding begging fledgling, still with whitish undertail coverts, gray head",,34.679146,-120.5699088,10,5,,"MSE field notes, Vandenberg 2005",-13421780.852607435,4120363.403639174
912,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, Shuman Creek, Lower",11 Jun 2005,"Compton, D.",Fledgling Begging,,,Begging juvenile following adult,,34.84154,-120.5799048,20,35,,"MSE field notes, Vandenberg 2005",-13422893.602237402,4142367.8594292323
925,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, San Antonio Ck, Barka Slough North",13 Jun 2005,"Compton, D.",Fledgling Begging,,,"Fledgling (whitish undertail coverts, gray mantle and sides) begging and following adult",,34.7699967,-120.4534129,50,90,,"MSE field notes, Vandenberg 2005",-13408812.58833993,4132668.377284611
929,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, San Antonio Creek x El Rancho Rd",14 Jun 2005,"Compton, D.",Feeding Fledgling,,,Female feeding fledgling,,34.7728367,-120.573413,20,20,,"MSE field notes, Vandenberg 2005",-13422170.938367072,4133053.2498648264
939,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, San Antonio Ck W of El Rancho Rd",17 Jun 2005,"Compton, D.",Fledgling Begging,,,Female followed by overall very gray begging fledgling,,34.7823289,-120.5860718,30,18,,"MSE field notes, Vandenberg 2005",-13423580.109537125,4134339.714836316
943,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, Wildlife Management Ponds",18 Jun 2005,"Compton, D.",Fledgling Begging,,,"Begging fledgling (gray head, whitish belly) following adult",nr Terra Rd,34.6863665,-120.5590568,20,12,,"MSE field notes, Vandenberg 2005",-13420572.813493345,4121340.8661171375
960,Yellow Warbler,YEWA,Setophaga petechia,"Goleta, Lake Los Carneros",26 Jun 2005,"Compton, D.",Fledgling Begging,,,"Pair accompanied by begging fledgling (gray head, pale on sides)",,34.4431333,-119.8523788,50,22,,Compton field notes,-13341905.778378535,4088460.3437704546
971,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, San Antonio Creek",1 Jul 2005,"Compton, D.",Juvenile Independent,,,Juvenile feeding self, E of Richmond Rd,34.7802335,-120.5186644,12,46,,"MSE field notes, Vandenberg 2005",-13416076.352093428,4134055.7153903833
988,Yellow Warbler,YEWA,Setophaga petechia,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",5 Jul 2005,"Compton, D.",Fledgling Begging,,,"Very mobile fledgling, with full length tail, but begging and near singing male",,34.679757,-120.565744,30,7,,"MSE field notes, Vandenberg 2005",-13421317.229192177,4120446.1133875274
989,Yellow Warbler,YEWA,Setophaga petechia,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",5 Jul 2005,"Compton, D.",Juvenile Independent,,,Juvenile feeding self,,34.6787577,-120.563558,10,6,,"MSE field notes, Vandenberg 2005",-13421073.884785304,4120310.8406252493
1006,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, Wildlife Management Ponds",11 Jul 2005,"Compton, D.",Fledgling Begging,,,"Begging fledgling (very gray overall) in company of adult, but possibly able to feed self.",,34.6866398,-120.5592015,10,13,,"MSE field notes, Vandenberg 2005",-13420588.921423662,4121377.86529793
1012,Yellow Warbler,YEWA,Setophaga petechia,"VAFB, Santa Ynez River nr 13th St",14 Jul 2005,"Compton, D.",Fledgling Begging,,,Begging fledgling (full-length tail) in company of adult female (no feeding witnessed),,34.6766045,-120.5555241,10,6,,"MSE field notes, Vandenberg 2005",-13420179.555128219,4120019.3728300175
