checklist,common_name,best_confidence,count
sd_01_2022_06_27,California Scrub-Jay,1,1267
sd_01_2022_06_27,Oak Titmouse,0.9999,6009
sd_01_2022_06_27,Pacific-slope Flycatcher,0.9999,3841
sd_01_2022_06_27,Red-shouldered Hawk,0.9999,9321
sd_01_2022_06_27,Bewick's Wren,0.9998,2070
sd_01_2022_06_27,Bushtit,0.9997,959
sd_01_2022_06_27,Spotted Towhee,0.9997,7652
sd_01_2022_06_27,Nuttall's Woodpecker,0.9996,551
sd_01_2022_06_27,Western Bluebird,0.9996,327
sd_01_2022_06_27,Acorn Woodpecker,0.9995,2522
sd_01_2022_06_27,Black Phoebe,0.9974,258
sd_01_2022_06_27,White-breasted Nuthatch,0.9969,1301
sd_01_2022_06_27,Anna's Hummingbird,0.9949,179
sd_01_2022_06_27,American Crow,0.9942,3082
sd_01_2022_06_27,Wrentit,0.9864,367
sd_01_2022_06_27,Red-tailed Hawk,0.9852,128
sd_01_2022_06_27,Orange-crowned Warbler,0.9784,164
sd_01_2022_06_27,Dark-eyed Junco,0.9711,301
sd_01_2022_06_27,House Wren,0.9621,115
sd_01_2022_06_27,House Finch,0.9548,455
sd_01_2022_06_27,California Towhee,0.8648,457
sd_01_2022_06_27,Lesser Goldfinch,0.8502,82
sd_01_2022_06_27,Cooper's Hawk,0.8355,91
sd_01_2022_06_27,Steller's Jay,0.8049,119
sd_08_2022_06_27,California Scrub-Jay,1,686
sd_08_2022_06_27,Oak Titmouse,1,3697
sd_08_2022_06_27,Red-shouldered Hawk,0.9999,3399
sd_08_2022_06_27,American Crow,0.9996,1373
sd_08_2022_06_27,Acorn Woodpecker,0.9991,586
sd_08_2022_06_27,Nuttall's Woodpecker,0.9987,162
sd_08_2022_06_27,Pacific-slope Flycatcher,0.9946,319
sd_08_2022_06_27,White-breasted Nuthatch,0.9944,280
sd_08_2022_06_27,Spotted Towhee,0.9943,2723
sd_08_2022_06_27,Bewick's Wren,0.9921,216
sd_08_2022_06_27,Wrentit,0.9898,243
sd_08_2022_06_27,Bushtit,0.985,202
sd_08_2022_06_27,House Finch,0.9759,165
sd_08_2022_06_27,Dark-eyed Junco,0.9256,168
sd_08_2022_06_27,California Towhee,0.9071,225
sd_08_2022_06_27,Double-crested Cormorant,0.8498,111
sd_15_2022_06_27,Cliff Swallow,0.997,431
sd_15_2022_06_27,Lesser Goldfinch,0.9813,130
sd_16_2022_06_27,Cooper's Hawk,1,15199
sd_16_2022_06_27,Oak Titmouse,1,2404
sd_16_2022_06_27,Acorn Woodpecker,0.9999,2058
sd_16_2022_06_27,Pacific-slope Flycatcher,0.9998,5067
