common_name,total,presence_absolute,presence_rate,best_confidence
Spotted Towhee,24552,5,0.8333333333333334,0.9997
Pacific-slope Flycatcher,22179,5,0.8333333333333334,0.9999
Oak Titmouse,20652,5,0.8333333333333334,1
Red-shouldered Hawk,18022,4,0.6666666666666666,0.9999
Cooper's Hawk,16083,5,0.8333333333333334,1
American Crow,14128,5,0.8333333333333334,0.9996
Lesser Goldfinch,9576,6,1,0.999
Acorn Woodpecker,7521,5,0.8333333333333334,0.9999
Bushtit,6166,6,1,0.9997
Bewick's Wren,6004,5,0.8333333333333334,0.9998
California Scrub-Jay,5266,5,0.8333333333333334,1
Dark-eyed Junco,4968,5,0.8333333333333334,0.9966
California Towhee,4244,6,1,0.9959
Yellow Warbler,3545,2,0.3333333333333333,0.9962
White-breasted Nuthatch,2911,5,0.8333333333333334,0.997
Orange-crowned Warbler,2438,4,0.6666666666666666,0.9944
Nuttall's Woodpecker,2302,5,0.8333333333333334,0.9997
Black Phoebe,2263,5,0.8333333333333334,0.9994
House Finch,1803,6,1,0.9953
Wrentit,1779,5,0.8333333333333334,0.9932
Northern Mockingbird,1343,1,0.16666666666666666,0.9707
White-crowned Sparrow,1241,3,0.5,0.8562
Anna's Hummingbird,754,4,0.6666666666666666,0.9971
Western Bluebird,686,5,0.8333333333333334,0.9996
Wilson's Warbler,679,3,0.5,0.9757
California Thrasher,650,3,0.5,0.9724
Brown Creeper,628,4,0.6666666666666666,0.891
Rock Pigeon,588,3,0.5,0.8267
Cliff Swallow,478,4,0.6666666666666666,0.997
Allen's Hummingbird,412,2,0.3333333333333333,0.9978
Lazuli Bunting,368,3,0.5,0.8684
Band-tailed Pigeon,295,3,0.5,0.9994
American Robin,190,2,0.3333333333333333,0.8964
House Wren,115,1,0.16666666666666666,0.9621
House Sparrow,90,1,0.16666666666666666,0.9373
