common_name,total,presence_absolute,presence_rate,best_confidence
House Finch,22019,8,0.8888888888888888,0.9996
Mourning Dove,13877,8,0.8888888888888888,0.9999
California Scrub-Jay,13273,8,0.8888888888888888,1
California Towhee,12656,8,0.8888888888888888,1
Acorn Woodpecker,11166,8,0.8888888888888888,1
Ash-throated Flycatcher,8824,8,0.8888888888888888,0.9996
Oak Titmouse,5831,8,0.8888888888888888,1
Bushtit,5251,8,0.8888888888888888,0.9999
Lesser Goldfinch,3746,8,0.8888888888888888,0.9982
California Quail,3614,8,0.8888888888888888,1
Bullock's Oriole,3197,8,0.8888888888888888,0.9982
Spotted Towhee,3188,7,0.7777777777777778,0.9995
California Thrasher,2945,8,0.8888888888888888,1
Nuttall's Woodpecker,2890,8,0.8888888888888888,0.9999
Violet-green Swallow,2603,8,0.8888888888888888,1
Bewick's Wren,2529,7,0.7777777777777778,0.9997
Bell's Sparrow,2323,7,0.7777777777777778,0.9974
American Kestrel,1867,6,0.6666666666666666,1
Western Bluebird,1806,8,0.8888888888888888,1
White-breasted Nuthatch,1714,8,0.8888888888888888,0.9993
Anna's Hummingbird,1648,7,0.7777777777777778,1
Red-tailed Hawk,1196,8,0.8888888888888888,0.9981
Hooded Oriole,1170,7,0.7777777777777778,0.9907
Wrentit,1168,7,0.7777777777777778,0.9998
Yellow-billed Magpie,920,7,0.7777777777777778,0.9965
White-crowned Sparrow,715,6,0.6666666666666666,0.99
Red-shouldered Hawk,625,7,0.7777777777777778,0.9963
Horned Lark,597,5,0.5555555555555556,0.8924
Rock Pigeon,565,5,0.5555555555555556,0.9837
Lawrence's Goldfinch,518,6,0.6666666666666666,0.9989
Rock Wren,508,6,0.6666666666666666,0.9921
