checklist_id,global_unique_identifier,last_edited_date,taxonomic_order,category,taxon_concept_id,common_name,scientific_name,exotic_code,observation_count,breeding_code,breeding_category,behavior_code,age_sex,country,country_code,state,state_code,county,county_code,iba_code,bcr_code,usfws_code,atlas_block,locality,locality_id,locality_type,latitude,longitude,observation_date,time_observations_started,observer_id,sampling_event_identifier,protocol_type,protocol_code,project_code,duration_minutes,effort_distance_km,effort_area_ha,number_observers,all_species_reported,group_identifier,has_media,approved,reviewed,reason,trip_comments,species_comments,site,point_count_timestamp,timestamp_deployed,timestamp_collected
S112931289,URN:CornellLabOfOrnithology:EBIRD:OBS1459294775,2022-06-14 13:24:14.259875,20908,species,avibase-151C2B3F,California Scrub-Jay,Aphelocoma californica,NA,4,NA,NA,NA,NA,United States,US,California,US-CA,Santa Barbara,US-CA-083,NA,32,NA,NA,"93460, Santa Ynez US-CA 34.68594, -120.03495",L19639031,P,34.685939000000005,-120.034952,2022-06-14,09:21:00,obsr2922158,S112931289,Stationary,P21,EBIRD,5,NA,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,C; 54m & 59.4m,SR-13,2022-06-14T16:21:49Z,2022-06-14T16:19:47Z,2022-06-16T17:28:42Z
S112931289,URN:CornellLabOfOrnithology:EBIRD:OBS1459294774,2022-06-14 13:24:14.259875,21761,species,avibase-715D4DDE,Oak Titmouse,Baeolophus inornatus,NA,1,NA,NA,NA,NA,United States,US,California,US-CA,Santa Barbara,US-CA-083,NA,32,NA,NA,"93460, Santa Ynez US-CA 34.68594, -120.03495",L19639031,P,34.685939000000005,-120.034952,2022-06-14,09:21:00,obsr2922158,S112931289,Stationary,P21,EBIRD,5,NA,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,C; 20m,SR-13,2022-06-14T16:21:49Z,2022-06-14T16:19:47Z,2022-06-16T17:28:42Z
S112931289,URN:CornellLabOfOrnithology:EBIRD:OBS1459294779,2022-06-14 13:24:14.259875,1045,species,avibase-F93AC929,California Quail,Callipepla californica,NA,1,NA,NA,NA,NA,United States,US,California,US-CA,Santa Barbara,US-CA-083,NA,32,NA,NA,"93460, Santa Ynez US-CA 34.68594, -120.03495",L19639031,P,34.685939000000005,-120.034952,2022-06-14,09:21:00,obsr2922158,S112931289,Stationary,P21,EBIRD,5,NA,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,C; Distant,SR-13,2022-06-14T16:21:49Z,2022-06-14T16:19:47Z,2022-06-16T17:28:42Z
S112931289,URN:CornellLabOfOrnithology:EBIRD:OBS1459294780,2022-06-14 13:24:14.259875,11791,species,avibase-20C2214E,American Kestrel,Falco sparverius,NA,1,NA,NA,NA,NA,United States,US,California,US-CA,Santa Barbara,US-CA-083,NA,32,NA,NA,"93460, Santa Ynez US-CA 34.68594, -120.03495",L19639031,P,34.685939000000005,-120.034952,2022-06-14,09:21:00,obsr2922158,S112931289,Stationary,P21,EBIRD,5,NA,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,C; Distant,SR-13,2022-06-14T16:21:49Z,2022-06-14T16:19:47Z,2022-06-16T17:28:42Z
S112931289,URN:CornellLabOfOrnithology:EBIRD:OBS1459294776,2022-06-14 13:24:14.259875,31790,species,avibase-89431E9F,House Finch,Haemorhous mexicanus,NA,1,NA,NA,NA,NA,United States,US,California,US-CA,Santa Barbara,US-CA-083,NA,32,NA,NA,"93460, Santa Ynez US-CA 34.68594, -120.03495",L19639031,P,34.685939000000005,-120.034952,2022-06-14,09:21:00,obsr2922158,S112931289,Stationary,P21,EBIRD,5,NA,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,S;C; 30.8,SR-13,2022-06-14T16:21:49Z,2022-06-14T16:19:47Z,2022-06-16T17:28:42Z
S112931289,URN:CornellLabOfOrnithology:EBIRD:OBS1459294773,2022-06-14 13:24:14.259875,10927,species,avibase-7E327303,Acorn Woodpecker,Melanerpes formicivorus,NA,4,NA,NA,NA,NA,United States,US,California,US-CA,Santa Barbara,US-CA-083,NA,32,NA,NA,"93460, Santa Ynez US-CA 34.68594, -120.03495",L19639031,P,34.685939000000005,-120.034952,2022-06-14,09:21:00,obsr2922158,S112931289,Stationary,P21,EBIRD,5,NA,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,C&V; 75.9 m,SR-13,2022-06-14T16:21:49Z,2022-06-14T16:19:47Z,2022-06-16T17:28:42Z
S112931289,URN:CornellLabOfOrnithology:EBIRD:OBS1459294778,2022-06-14 13:24:14.259875,26436,species,avibase-19CCBBD2,White-breasted Nuthatch,Sitta carolinensis,NA,1,NA,NA,NA,NA,United States,US,California,US-CA,Santa Barbara,US-CA-083,NA,32,NA,NA,"93460, Santa Ynez US-CA 34.68594, -120.03495",L19639031,P,34.685939000000005,-120.034952,2022-06-14,09:21:00,obsr2922158,S112931289,Stationary,P21,EBIRD,5,NA,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,C; Distant,SR-13,2022-06-14T16:21:49Z,2022-06-14T16:19:47Z,2022-06-16T17:28:42Z
S112931289,URN:CornellLabOfOrnithology:EBIRD:OBS1459294777,2022-06-14 13:24:14.259875,2427,species,avibase-00124D98,Mourning Dove,Zenaida macroura,NA,2,NA,NA,NA,NA,United States,US,California,US-CA,Santa Barbara,US-CA-083,NA,32,NA,NA,"93460, Santa Ynez US-CA 34.68594, -120.03495",L19639031,P,34.685939000000005,-120.034952,2022-06-14,09:21:00,obsr2922158,S112931289,Stationary,P21,EBIRD,5,NA,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,S; Distant,SR-13,2022-06-14T16:21:49Z,2022-06-14T16:19:47Z,2022-06-16T17:28:42Z
S112934772,URN:CornellLabOfOrnithology:EBIRD:OBS1459327985,2022-06-17 11:53:32.061254,20908,species,avibase-151C2B3F,California Scrub-Jay,Aphelocoma californica,NA,2,NA,NA,NA,NA,United States,US,California,US-CA,Santa Barbara,US-CA-083,NA,32,NA,NA,"93460, Santa Ynez US-CA 34.68594, -120.03495",L19639031,P,34.685939000000005,-120.034952,2022-06-14,10:25:00,obsr2922158,S112934772,Stationary,P21,EBIRD,5,NA,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,C; 35m,SR-18,2022-06-14T17:25:43Z,2022-06-14T17:20:06Z,2022-06-16T16:47:07Z
S112934772,URN:CornellLabOfOrnithology:EBIRD:OBS1459327987,2022-06-17 11:53:32.061254,31790,species,avibase-89431E9F,House Finch,Haemorhous mexicanus,NA,1,NA,NA,NA,NA,United States,US,California,US-CA,Santa Barbara,US-CA-083,NA,32,NA,NA,"93460, Santa Ynez US-CA 34.68594, -120.03495",L19639031,P,34.685939000000005,-120.034952,2022-06-14,10:25:00,obsr2922158,S112934772,Stationary,P21,EBIRD,5,NA,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,C; Distant,SR-18,2022-06-14T17:25:43Z,2022-06-14T17:20:06Z,2022-06-16T16:47:07Z
